 County Name ,Metro Area,NCHS Urban Rural Classification (2013)
Anderson County,Non-Metro,Micropolitan
Andrews County,Non-Metro,Micropolitan
Angelina County,Non-Metro,Micropolitan
Aransas County,Metro,Medium Metro
Archer County,Metro,Small Metro
Armstrong County,Metro,Medium Metro
Atascosa County,Metro,Large Fringe Metro
Austin County,Metro,Large Fringe Metro
Bailey County,Non-Metro,Non-core
Bandera County,Metro,Large Fringe Metro
Bastrop County,Metro,Large Fringe Metro
Baylor County,Non-Metro,Non-core
Bee County,Non-Metro,Micropolitan
Bell County,Metro,Medium Metro
Bexar County,Metro,Large Central Metro
Blanco County,Non-Metro,Non-core
Borden County,Non-Metro,Non-core
Bosque County,Non-Metro,Non-core
Bowie County,Metro,Small Metro
Brazoria County,Metro,Large Fringe Metro
Brazos County,Metro,Small Metro
Brewster County,Non-Metro,Non-core
Briscoe County,Non-Metro,Non-core
Brooks County,Non-Metro,Non-core
Brown County,Non-Metro,Micropolitan
Burleson County,Metro,Small Metro
Burnet County,Non-Metro,Non-core
Caldwell County,Metro,Large Fringe Metro
Calhoun County,Non-Metro,Micropolitan
Callahan County,Metro,Small Metro
Cameron County,Metro,Medium Metro
Camp County,Non-Metro,Non-core
Carson County,Metro,Medium Metro
Cass County,Non-Metro,Non-core
Castro County,Non-Metro,Non-core
Chambers County,Metro,Large Fringe Metro
Cherokee County,Non-Metro,Micropolitan
Childress County,Non-Metro,Non-core
Clay County,Metro,Small Metro
Cochran County,Non-Metro,Non-core
Coke County,Non-Metro,Non-core
Coleman County,Non-Metro,Non-core
Collin County,Metro,Large Central Metro
Collingsworth County,Non-Metro,Non-core
Colorado County,Non-Metro,Non-core
Comal County,Metro,Large Fringe Metro
Comanche County,Non-Metro,Non-core
Concho County,Non-Metro,Non-core
Cooke County,Non-Metro,Micropolitan
Coryell County,Metro,Medium Metro
Cottle County,Non-Metro,Non-core
Crane County,Non-Metro,Non-core
Crockett County,Non-Metro,Non-core
Crosby County,Metro,Medium Metro
Culberson County,Non-Metro,Non-core
Dallam County,Non-Metro,Non-core
Dallas County,Metro,Large Central Metro
Dawson County,Non-Metro,Micropolitan
Deaf Smith County,Non-Metro,Micropolitan
Delta County,Non-Metro,Non-core
Denton County,Metro,Large Fringe Metro
DeWitt County,Non-Metro,Non-core
Dickens County,Non-Metro,Non-core
Dimmit County,Non-Metro,Non-core
Donley County,Non-Metro,Non-core
Duval County,Non-Metro,Non-core
Eastland County,Non-Metro,Non-core
Ector County,Metro,Small Metro
Edwards County,Non-Metro,Non-core
Ellis County,Metro,Large Fringe Metro
El Paso County,Metro,Medium Metro
Erath County,Non-Metro,Micropolitan
Falls County,Metro,Medium Metro
Fannin County,Non-Metro,Non-core
Fayette County,Non-Metro,Non-core
Fisher County,Non-Metro,Non-core
Floyd County,Non-Metro,Non-core
Foard County,Non-Metro,Non-core
Fort Bend County,Metro,Large Fringe Metro
Franklin County,Non-Metro,Non-core
Freestone County,Non-Metro,Non-core
Frio County,Non-Metro,Non-core
Gaines County,Non-Metro,Non-core
Galveston County,Metro,Large Fringe Metro
Garza County,Non-Metro,Non-core
Gillespie County,Non-Metro,Micropolitan
Glasscock County,Non-Metro,Micropolitan
Goliad County,Metro,Small Metro
Gonzales County,Non-Metro,Non-core
Gray County,Non-Metro,Micropolitan
Grayson County,Metro,Small Metro
Gregg County,Metro,Small Metro
Grimes County,Non-Metro,Non-core
Guadalupe County,Metro,Large Fringe Metro
Hale County,Non-Metro,Micropolitan
Hall County,Non-Metro,Non-core
Hamilton County,Non-Metro,Non-core
Hansford County,Non-Metro,Non-core
Hardeman County,Non-Metro,Non-core
Hardin County,Metro,Medium Metro
Harris County,Metro,Large Central Metro
Harrison County,Non-Metro,Micropolitan
Hartley County,Non-Metro,Non-core
Haskell County,Non-Metro,Non-core
Hays County,Metro,Large Fringe Metro
Hemphill County,Non-Metro,Non-core
Henderson County,Non-Metro,Micropolitan
Hidalgo County,Metro,Medium Metro
Hill County,Non-Metro,Non-core
Hockley County,Non-Metro,Micropolitan
Hood County,Metro,Large Fringe Metro
Hopkins County,Non-Metro,Micropolitan
Houston County,Non-Metro,Non-core
Howard County,Non-Metro,Micropolitan
Hudspeth County,Metro,Medium Metro
Hunt County,Metro,Large Fringe Metro
Hutchinson County,Non-Metro,Micropolitan
Irion County,Metro,Small Metro
Jack County,Non-Metro,Non-core
Jackson County,Non-Metro,Non-core
Jasper County,Non-Metro,Non-core
Jeff Davis County,Non-Metro,Non-core
